age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30,Private,Some,Never,Machine,Not,Black,Female,0,0,40,United,<
33,Private,Master,Married,Prof-specialty,Husband,White,Male,15024,0,44,USA,>50K
34,Private,Some,Married,Tech,Husband,White,Male,0,0,40,United,>50K
54,Private,Doctorate,Married,Prof-specialty,Husband,White,Male,15024,0,45,USA,>50K
31,Private,HS-grad,Never,Admin-clerical,Not-in-family,White,Female,0,0,40,United,<
67,Private,Bachelors,Married,Protective-serv,Husband,White,Male,6514,0,7,United,>50K
22,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<
35,Private,Bachelors,Never,Administrative,Not,White,Female,0,0,40,USA,<50K
22,Private,HS-grad,Single,Other-service,Not-in-family,White,Female,0,0,24,United,<50K
37,Private,High,Divorced,Transportation,Not-in-family,White,Male,0,0,50,USA,<
47,Private,Some,Never,Administrative,Not-in-family,White,Female,0,0,40,United,<
51,Private,Some,Married,Transport-moving,Husband,White,Male,0,0,40,United,>
17,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United,<
44,Private,Bachelors,Divorced,Other-service,Not-in-family,Asian-Pacific,Male,0,0,40,China,<
34,Private,7th-8th,Married,Machine-operator,Husband,White,Male,0,0,40,United,<
18,Private,12th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,6,United,<50K
24,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,50,United,<50K
33,Private,Some,Married,Machine,Husband,Black,Male,0,0,40,United,<50K
18,Private,Some-college,Single,Sales,Not-in-family,White,Male,0,0,16,United,<
43,Private,Master,Married,Exec-managerial,Husband,White,Male,0,1902,40,USA,>
34,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United,<
30,Private,Bachelors,Married,Admin-clerical,Husband,White,Male,0,0,40,USA,>
39,Private,Master,Married,Executive,Husband,Asian-Pacific,Male,15024,0,40,USA,>
48,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United,<50K
58,Private,Masters,Married,Sales,Husband,White,Male,0,0,40,United,<
22,Private,9th,Never,Other-service,Not-in-family,White,Male,0,0,40,United,<
26,Private,11th,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,USA,<
45,Private,HS-grad,Married,Handlers-cleaners,Husband,White,Male,0,1628,45,USA,<50K
66,Protective,10th,Married,Protective,Husband,White,Male,0,0,40,USA,<
26,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United,<
31,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,1408,40,United,<50K
53,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United,>50K
35,Private,11th,Married,Farming-fishing,Husband,White,Male,0,0,40,United,<50K
57,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,0,0,40,United,<50K
18,Private,11th,Never,Machine,Own,White,Male,0,0,40,United,<
38,Private,HS-grad,Married,Machine,Husband,White,Male,0,0,40,United,<
65,Private,Assoc-voc,Married,Farming-fishing,Husband,White,Male,6767,0,60,United,<
33,Private,7th-8th,Married,Machine,Husband,White,Male,0,0,40,United,<
24,Private,HS-grad,Never-married,Administrative-clerical,Not-in-family,White,Male,0,0,40,United,<
40,Private,Some,Never,Craft-repair,Not-in-family,White,Male,0,0,40,United,<
21,Private,11th,Never-married,Service,Not-in-family,Black,Female,0,0,40,United,<50K
57,Private,Some,Married,Craft-repair,Husband,White,Male,0,0,40,Poland,<
44,private,bachelor,divorced,exec-managerial,not-in-family,white,male,0,2547,50,United,>50K
19,Private,HS-grad,Never-married,Sales,Own-child,White,Male,0,0,40,USA,<
18,Private,11th,Never,Administrative,Not-in-family,White,Male,0,0,40,United,<
27,Private,Some,Single,Administrative,Not-in-family,White,Female,0,0,40,United,<50K
24,Private,HS-grad,Never,Adm-clerical,Not-in-family,White,Male,0,0,40,United,<50K
47,Private,HS-grad,Married,Transport-moving,Husband,White,Male,0,0,25,United,<50K
18,Private,10th,Never,Handlers-cleaners,Not,White,Male,0,0,27,United,<50K
38,Private,5th-6th,Married,Other-service,Husband,White,Male,0,0,75,Mexico,<50K
31,Private,Some-college,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,45,United-States,<50K
18,Private,11th,Never,Cleaner,Own,White,Male,0,0,25,United,<
47,Private,Assoc-voc,Divorced,Sales,Not-in-family,White,Male,0,0,50,United,<
31,Private,HS-grad,Never-married,Sales,Not-in-family,Black,Female,0,0,40,United,<50K
27,Private,Bachelors,Never,Sales,Own-child,White,Male,0,0,40,United,<
38,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United,<
25,Private,11th,Never,Handlers-cleaners,Not,White,Male,0,0,40,United,<
42,Private,Preschool,Widowed,Craft-repair,Unmarried,White,Male,0,0,40,United,<
23,Private,7th-8th,Never,Craft-repair,Not-in-family,White,Male,0,0,38,United,<
60,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,0,0,35,United,>50K
29,Private,Some,Never,Handlers-cleaners,Not,White,Male,0,0,40,USA,<
21,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,0,0,65,United,<50K
30,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United,<
43,Private,Some,Married-civ-spouse,Exec-managerial,Husband,White,Male,1500,0,40,United,>50K
24,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,USA,<50K
60,Private,HS-grad,Married,Transport-moving,Husband,White,Male,0,0,40,USA,<
53,Private,Some,Married,Craft-repair,Husband,White,Male,0,0,50,United,>50K
59,Private,HS-grad,Separated,Sales,Not-in-family,Black,Female,0,0,40,United,<
52,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United,<
19,Private,Some,Never,Sales,Not,White,Female,0,0,28,United,<50K
27,Private,Some,Never-Married,Sales,Not-in-family,White,Male,0,0,40,United,<
24,Private,HS-grad,Never,Admin-clerical,Not-in-family,White,Female,0,0,40,United,<
39,Private,Bachelors,Married,Sales,Husband,White,Male,0,0,40,United,<
52,Private,Some,Married,Exec-managerial,Husband,White,Male,0,0,40,United,>
46,Private,Some-college,Married,Craft-repair,Husband,Black,Male,0,0,40,United,>50K
17,Private,10th,Never,Other-service,Not-in-family,White,Male,0,0,24,United,<50K
56,Private,Masters,Married,Craft-repair,Husband,White,Male,0,1977,44,USA,>50K
28,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United,<
35,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United,>50K
48,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United,<
41,Private,Some,Married,Craft,Husband,American,Male,7298,0,50,United,>50K
38,Private,HS-grad,Separated,Household-services,Not-in-family,Black,Female,0,0,30,USA,<50K
24,Private,Assoc-voc,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,United,>50K
22,Private,Bachelors,Never-married,Administrative-Clerical,Not-in-family,White,Male,0,0,40,United,<
19,Private,HS-grad,Never,Tech-support,Not-in-family,White,Male,0,0,40,United,<
38,Private,Some,Never,Executive,Not,White,Female,0,0,45,United,<50K
51,Private,Some,Married,Exec-managerial,Husband,White,Male,0,0,40,United,>50K
36,Private,HS-grad,Married,Machine-op-inspct,Husband,White,Male,0,0,60,United,<
19,Private,7th-8th,Never-married,Machine-operator,Own-child,White,Male,0,0,40,United,<50K
28,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United,<
50,Self-emp,Bachelors,Married,Exec-managerial,Husband,White,Male,0,0,13,United,<50K
19,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0,0,40,United,<
18,Private,11th,Never,Other-service,Own,White,Female,0,0,22,United,<50K
61,Self-emp,HS-grad,Married,Craft-repair,Husband,White,Male,0,0,40,United,<
33,Private,Bachelors,Never,Exec-managerial,Other-relative,Asian-Pacific,Female,0,0,40,Philippines,<
18,Private,HS-grad,Single,Sales,Own-child,White,Female,0,0,40,USA,<50K
42,Private,Bachelors,Married,Clerical,Wife,Black,Female,0,0,40,United,<
41,Self-emp,Some-college,Married,Farming-fishing,Husband,White,Male,0,0,54,United,>50K
42,Private,HS-grad,Married,Clerical,Wife,White,Female,0,0,35,United,<50K
52,Self-employed,HS-grad,Married,Managerial,Husband,White,Male,0,0,45,United,<=50K
18,Private,High,Never-married,Sales,Own-child,White,Male,0,0,35,United,<
42,Private,Doctorate,Married,Specialty,Husband,White,Male,0,0,45,USA,<
17,Self-emp,10th,Never-married,Exec-managerial,Own-child,White,Female,34095,0,32,United,<
42,Private,Bachelors,Married-civ-spouse,Software,Husband,White,Male,0,0,40,USA,<
25,Private,Some,Married,Exec-managerial,Wife,Other,Female,0,0,40,United,<
28,Private,Some,Divorced,Admin-clerical,Not-in-family,White,Female,0,0,40,United,<50K
24,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,40,United,<50K
19,Private,Some,Never,Other,Own,Black,Male,0,0,35,United,<
66,Local-gov,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United,<50K
24,Private,High,Married-civ-spouse,Machine-operator,Husband,White,Male,0,0,40,United,<50
35,Private,Some,Single,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United,<50K
59,Private,Some-college,Married,Sales,Husband,White,Male,4064,0,40,United,<
58,Self-employed,HS-grad,Married,Handlers-cleaners,Husband,White,Male,0,0,40,USA,<50K
26,Self-employed,9th,Married,Craft-repair,Husband,White,Male,0,0,40,Portugal,<50K
42,Local-gov,Some-college,Married,Adm-clerical,Wife,White,Female,0,0,40,United,<50K
37,Private,HS-grad,Married,Admin-clerical,Wife,White,Female,0,0,60,USA,<50K
62,Local-gov,HS-grad,Married,Transport-moving,Husband,White,Male,0,0,40,USA,<50K
36,Private,HS-grad,Married,Other-service,Husband,Black,Male,0,0,40,United,<
35,Private,HS-grad,Married,Machine-op-inspct,Wife,Black,Female,0,0,40,United,<
30,Private,HS-grad,Married,Transport-moving,Husband,Black,Male,0,0,45,USA,<
31,Local-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United,<50K
43,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,38,United,<

49,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,USA,<50K
27,Private,High,Never,Sales,Not,White,Female,0,0,40,USA,<
30,Private,11th,Never,Cleaner,Not,White,Male,0,0,40,USA,<50K
19,Private,Some,Single,Other-service,Own-child,White,Male,0,0,30,Mexico,<50K
41,Local-gov,Bachelors,Married,Craft-repair,Husband,Black,Male,0,0,40,United,<
37,Self-employed,Bachelors,Divorced,Sales,Not-in-family,White,Female,0,0,60,USA,<
43,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United,<50K
56,Private,Assoc-acdm,Married-spouse-absent,Service,Husband,White,Male,0,0,25,Iran,<50K
31,Private,Bachelors,Separated,Sales,Own-child,Black,Female,0,0,40,USA,<
34,Local-gov,Bachelors,Married,Protective-serv,Husband,White,Male,0,0,40,USA,>50K
